sample_id,flowering_arkansas
L1,75.08333333
L3,89.5
L4,94.5
L5,87.5
L6,89.08333333
L7,105.0
L8,101.5833333
L9,73.0
L10,89.0
L12,101.8333333
L13,100.3333333
L16,90.25
L17,83.0
L18,98.83333333
L19,84.66666667
L20,104.0
L21,98.75
L22,101.6666667
L23,103.4444444
L24,90.91666667
L25,92.18181818
L26,92.33333333
L27,89.75
L29,90.5
L32,92.66666667
L34,97.0
L37,85.83333333
L39,95.16666667
L40,95.66666667
L43,92.25
L44,81.83333333
L45,81.75
L46,95.58333333
L49,96.0
L50,95.25
L51,102.6
L53,91.0
L54,108.8333333
L55,74.91666667
L56,74.125
L57,89.83333333
L58,91.25
L59,82.16666667
L60,82.33333333
L61,89.25
L65,100.75
L67,114.6666667
L69,93.25
L70,90.5
L71,100.75
L72,108.1666667
L73,91.41666667
L74,99.33333333
L75,87.66666667
L76,110.1666667
L77,125.0
L78,98.83333333
L79,76.25
L80,110.5714286
L81,83.25
L83,79.0
L84,89.16666667
L85,100.75
L87,101.25
L88,91.88888889
L89,90.91666667
L92,91.6
L93,88.25
L94,83.91666667
L96,104.3
L99,90.16666667
L100,84.11111111
L101,86.16666667
L103,84.0
L105,80.5
L106,102.8333333
L107,81.41666667
L108,102.1666667
L110,150.5
L112,97.0
L113,59.0
L114,84.58333333
L115,105.0
L116,91.08333333
L117,82.75
L118,73.33333333
L119,114.0
L120,92.91666667
L121,84.16666667
L122,107.1111111
L123,92.0
L125,92.75
L126,100.0
L128,81.25
L129,88.83333333
L130,87.75
L131,80.77777778
L132,104.8333333
L133,89.625
L134,81.6
L135,93.16666667
L137,82.33333333
L139,89.6
L140,82.45454545
L141,100.5
L142,111.8888889
L143,96.33333333
L145,97.0
L147,106.8
L149,104.0
L150,83.7
L151,90.4
L152,83.16666667
L153,84.25
L154,76.91666667
L155,82.5
L156,93.83333333
L157,88.0
L158,90.0
L160,82.83333333
L161,97.25
L162,111.0
L163,102.75
L164,104.8333333
L165,85.0
L166,104.0833333
L167,88.08333333
L168,101.0833333
L169,85.75
L170,86.0
L171,70.66666667
L172,73.5
L174,101.0833333
L176,98.85714286
L177,76.0
L178,88.0
L179,71.83333333
L180,79.41666667
L181,107.2222222
L182,107.3333333
L183,94.0
L184,83.75
L186,87.5
L187,76.33333333
L188,101.5
L189,79.75
L190,111.5
L191,82.75
L192,55.75
L195,92.0
L196,116.0
L197,125.0
L198,84.75
L199,91.75
L200,103.75
L201,105.6666667
L202,93.0
L203,81.83333333
L204,76.75
L205,78.25
L206,101.4166667
L207,100.0
L208,112.9
L209,84.5
L211,70.08333333
L213,82.5
L214,98.58333333
L215,103.0833333
L216,109.0833333
L217,79.5
L218,85.83333333
L219,56.25
L220,62.83333333
L221,72.66666667
L222,79.75
L224,89.75
L225,77.25
L227,107.1666667
L228,77.91666667
L231,65.5
L232,66.66666667
L233,69.58333333
L234,75.25
L235,82.91666667
L236,82.08333333
L237,75.58333333
L239,78.5
L240,77.33333333
L241,92.25
L242,81.75
L243,61.75
L244,106.4166667
L245,78.91666667
L247,74.91666667
L248,77.5
L249,74.33333333
L250,57.75
L251,87.75
L252,75.75
L254,78.16666667
L255,95.91666667
L256,62.75
L257,66.83333333
L258,102.5
L259,103.4166667
L260,89.41666667
L261,79.75
L262,103.4166667
L263,73.25
L264,78.0
L265,77.91666667
L266,70.75
L267,77.16666667
L268,60.4
L269,105.8333333
L270,73.75
L271,78.66666667
L272,108.0833333
L273,82.16666667
L274,106.0
L275,77.66666667
L276,80.25
L277,82.33333333
L278,82.0
L279,57.25
L280,84.08333333
L281,85.33333333
L282,80.91666667
L283,77.58333333
L284,81.0
L285,79.5
L286,86.0
L287,54.5
L288,58.0
L289,63.0
L290,74.75
L291,67.08333333
L292,67.83333333
L293,104.75
L294,85.66666667
L296,79.75
L297,82.83333333
L298,105.0
L299,70.33333333
L300,76.25
L301,75.58333333
L302,79.25
L303,81.75
L304,101.0833333
L306,59.5
L307,78.0
L308,90.91666667
L309,103.0
L310,84.41666667
L311,80.5
L312,99.5
L313,86.5
L314,81.16666667
L315,98.41666667
L316,83.41666667
L317,90.75
L318,96.16666667
L320,97.25
L321,81.75
L322,98.75
L323,103.1666667
L324,84.0
L325,78.75
L326,84.25
L327,90.0
L328,93.5
L329,96.0
L330,100.0
L331,95.5
L332,100.6666667
L333,62.58333333
L334,76.58333333
L335,81.5
L336,98.25
L337,81.0
L338,79.66666667
L339,86.0
L340,88.16666667
L341,86.75
L342,90.25
L343,75.66666667
L344,80.0
L345,91.75
L346,84.83333333
L347,93.25
L348,73.0
L349,93.75
L350,63.5
L353,87.75
L355,75.91666667
L356,87.0
L357,99.75
L359,82.41666667
L360,98.41666667
L363,88.0
L364,78.75
L365,73.0
L366,100.75
L367,75.75
L368,79.0
L369,75.75
L370,84.33333333
L371,83.0
L372,85.5
L373,88.75
L376,79.5
L377,89.08333333
L378,106.6
L379,91.66666667
L380,92.75
L381,90.83333333
L384,90.16666667
L385,83.75
L386,82.66666667
L387,78.33333333
L388,90.81818182
L389,106.75
L390,91.25
L391,86.08333333
L392,89.41666667
L394,86.0
L395,90.58333333
L396,84.66666667
L397,88.25
L398,98.5
L399,78.91666667
L400,93.75
L616,81.0
L618,78.5
L619,78.0
L620,91.5
L621,85.5
L622,83.5
L623,90.0
L624,86.5
L625,85.5
L626,90.5
L627,62.0
L628,81.5
L629,72.5
L630,84.5
L632,81.5
L633,94.5
L634,89.0
