sample_id,plant_height
L1,110.9166667
L3,143.5
L4,128.0833333
L5,153.75
L6,148.3333333
L7,119.6
L8,147.4166667
L9,128.875
L10,83.0
L12,139.5555556
L13,135.1666667
L16,161.8333333
L17,88.0
L18,132.0
L19,121.1666667
L20,130.5
L21,127.25
L22,120.6666667
L23,112.4444444
L24,132.8333333
L25,132.125
L26,136.9166667
L27,96.33333333
L29,121.8888889
L32,128.1111111
L34,117.5555556
L35,105.5
L37,101.5833333
L39,150.4166667
L40,114.75
L43,98.66666667
L44,136.0
L45,141.1666667
L46,127.25
L49,127.1666667
L50,130.5833333
L51,123.1428571
L52,87.66666667
L53,152.5
L54,133.0
L55,101.3333333
L56,77.0
L57,137.1666667
L58,129.1666667
L59,136.5555556
L60,128.9166667
L61,142.4166667
L65,129.5833333
L67,123.9166667
L69,113.5833333
L70,128.0
L71,99.16666667
L72,90.66666667
L73,102.9166667
L74,104.0833333
L75,132.4166667
L76,94.08333333
L77,144.8
L78,133.75
L79,91.16666667
L80,106.0
L81,139.3333333
L83,106.6
L84,132.5833333
L85,143.1666667
L87,116.125
L88,137.0
L89,114.6666667
L92,123.4444444
L93,150.4444444
L94,93.16666667
L96,101.6666667
L99,134.3333333
L100,114.8888889
L101,86.16666667
L103,95.08333333
L105,131.1111111
L106,93.83333333
L107,114.25
L108,112.7777778
L110,143.4444444
L112,151.4285714
L113,90.90909091
L114,108.8333333
L115,123.3333333
L116,136.0833333
L117,135.0833333
L118,106.8888889
L119,90.91666667
L120,135.0833333
L121,113.6666667
L122,160.1666667
L123,132.1111111
L125,153.0833333
L126,144.0
L128,116.5555556
L129,136.0
L130,144.3333333
L131,139.6
L132,128.8888889
L133,119.25
L134,110.8181818
L135,99.08333333
L137,130.2222222
L138,139.2222222
L139,107.1
L140,99.81818182
L141,129.3333333
L142,194.3333333
L143,97.5
L144,75.0
L145,157.1
L146,70.0
L147,105.9166667
L148,90.66666667
L149,140.6666667
L150,107.9
L151,81.1
L152,153.6666667
L153,143.8333333
L154,113.3333333
L155,116.8333333
L156,98.08333333
L157,98.22222222
L158,102.1666667
L159,87.33333333
L160,134.0
L161,96.11111111
L162,129.1111111
L163,143.9166667
L164,110.8333333
L165,134.6666667
L166,161.0
L167,90.33333333
L168,159.4444444
L169,143.8571429
L170,91.0
L171,87.16666667
L172,86.0
L174,151.6666667
L176,131.6666667
L177,90.0
L178,159.75
L179,97.41666667
L180,112.75
L181,126.1666667
L182,128.0
L183,122.4444444
L184,117.8333333
L186,107.0833333
L187,106.0
L188,120.0833333
L189,141.6666667
L190,110.6666667
L191,152.0
L192,93.75
L194,82.66666667
L195,95.5
L196,102.0
L197,99.6
L198,90.83333333
L199,116.0833333
L200,137.0
L201,111.25
L202,127.25
L203,143.8333333
L204,112.6666667
L205,115.3333333
L206,187.8888889
L207,121.5
L208,141.0
L209,88.55555556
L211,101.1666667
L213,120.0833333
L214,123.1666667
L215,101.0833333
L216,103.3333333
L217,120.75
L218,113.75
L219,87.75
L220,95.25
L221,117.0
L222,143.25
L224,110.5833333
L225,103.0833333
L227,145.9166667
L228,118.8181818
L231,75.08333333
L232,70.58333333
L233,81.91666667
L234,83.5
L235,139.5
L236,117.25
L237,95.0
L239,106.8888889
L240,103.75
L241,98.77777778
L242,115.1666667
L243,86.33333333
L244,100.5
L245,115.9166667
L247,97.25
L248,119.5833333
L249,103.25
L250,94.66666667
L251,90.0
L252,136.25
L254,125.0833333
L255,124.3333333
L256,100.6666667
L257,90.75
L258,125.75
L259,148.3333333
L260,168.0
L261,102.6666667
L262,130.0
L263,108.1666667
L264,102.8333333
L265,127.5833333
L266,110.1666667
L267,97.25
L268,106.0
L269,92.58333333
L270,108.8333333
L271,114.25
L272,142.4444444
L273,130.8333333
L274,147.9166667
L275,100.25
L276,135.3333333
L277,101.1
L278,92.83333333
L279,90.91666667
L280,114.75
L281,113.6666667
L282,79.75
L283,96.41666667
L284,104.0
L285,93.16666667
L286,105.1666667
L287,91.08333333
L288,89.33333333
L289,98.08333333
L290,90.91666667
L291,67.75
L292,107.8181818
L293,138.5833333
L294,107.25
L296,97.08333333
L297,99.91666667
L298,129.75
L299,130.25
L300,99.75
L301,108.2222222
L302,101.9166667
L303,98.41666667
L304,126.5
L306,97.0
L307,101.5833333
L308,105.0833333
L309,132.1666667
L310,114.6666667
L311,94.66666667
L312,122.0
L313,123.1666667
L314,130.6666667
L315,151.6666667
L316,135.5
L317,136.3333333
L318,145.5833333
L320,126.75
L321,131.9166667
L322,125.0
L323,141.9166667
L324,133.9166667
L325,154.4166667
L326,125.4444444
L327,117.5
L328,130.4166667
L329,132.0
L330,137.0
L331,113.5
L332,133.5
L333,81.54545455
L334,112.0833333
L335,86.5
L336,129.0
L337,127.5833333
L338,111.6666667
L339,147.25
L340,135.6666667
L341,132.0
L342,118.0833333
L343,118.5833333
L344,129.5
L345,131.75
L346,129.1666667
L347,139.5833333
L348,123.9166667
L349,124.0833333
L350,107.5
L353,127.6666667
L355,126.3333333
L356,151.5833333
L357,149.3333333
L359,131.0833333
L360,123.8333333
L363,98.0
L364,93.08333333
L365,88.91666667
L366,88.0
L367,119.25
L368,107.0
L369,119.5
L370,130.75
